index,host,source,sourcetype,"_raw","_time"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Health"," 2015-01-05T04:55:59-08:00 Server=""WIN-6LR3JNJ6LVD"" OperatingSystem=""Windows Server 2012 R2 Datacenter Evaluation"" ServicePack="""" OSVersion=""6.3 (9600)"" ServicesRunning=""DNS,Dnscache,w32time"" ServicesNotRunning="""" ProcsOK=""True"" Name=""WIN-6LR3JNJ6LVD.spl.com"" Version=""629146374"" LogLevel=""0"" LogFilePath="""" LogFileMaxSize=""500000000"" EventLogLevel=""4"" RpcProtocol=""5"" NameCheckFlag="""" AddressAnswerLimit=""0"" RecursionRetry=""3"" RecursionTimeout=""8"" DsPollingInterval=""180"" DsTombstoneInteval="""" MaxCacheTTL=""86400"" MaxNegativeCacheTTL=""900"" SendPort=""0"" XfrConnectTimeout=""30"" BootMethod=""3"" AllowUpdate=""1"" UpdateOptions=""783"" DsAvailable=""True"" DisableAutoReverseZones=""False"" AutoCacheUpdate=""False"" NoRecursion=""False"" RoundRobin=""True"" LocalNetPriority=""True"" StrictFileParsing=""False"" LooseWildcarding=""False"" BindSecondaries=""False"" WriteAuthorityNS=""False"" ForwardDelegations=""0"" SecureResponses=""True"" DisjointNets=""False"" AutoConfigFileZones=""1"" ScavengingInterval=""0"" DefaultRefreshInterval=""168"" DefaultNoRefreshInterval=""168"" DefaultAgingState=""False"" EDnsCacheTimeout=""900"" EnableEDnsProbes=""True"" EnableDnsSec=""1"" ForwardingTimeout=""3"" IsSlave=""False"" EnableDirectoryPartitions=""True"" Started=""True"" StartMode=""Automatic"" Status=""OK"" Forwarder=""10.160.20.2"" Forwarder=""10.160.20.3"" ServerAddress=""fe80::d0c3:172c:d86e:f2f3"" ServerAddress=""10.80.2.160""","2015-01-05T04:55:59.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Health"," 2015-01-05T05:55:59-08:00 Server=""WIN-6LR3JNJ6LVD"" OperatingSystem=""Windows Server 2012 R2 Datacenter Evaluation"" ServicePack="""" OSVersion=""6.3 (9600)"" ServicesRunning=""DNS,Dnscache,w32time"" ServicesNotRunning="""" ProcsOK=""True"" Name=""WIN-6LR3JNJ6LVD.spl.com"" Version=""629146374"" LogLevel=""0"" LogFilePath="""" LogFileMaxSize=""500000000"" EventLogLevel=""4"" RpcProtocol=""5"" NameCheckFlag="""" AddressAnswerLimit=""0"" RecursionRetry=""3"" RecursionTimeout=""8"" DsPollingInterval=""180"" DsTombstoneInteval="""" MaxCacheTTL=""86400"" MaxNegativeCacheTTL=""900"" SendPort=""0"" XfrConnectTimeout=""30"" BootMethod=""3"" AllowUpdate=""1"" UpdateOptions=""783"" DsAvailable=""True"" DisableAutoReverseZones=""False"" AutoCacheUpdate=""False"" NoRecursion=""False"" RoundRobin=""True"" LocalNetPriority=""True"" StrictFileParsing=""False"" LooseWildcarding=""False"" BindSecondaries=""False"" WriteAuthorityNS=""False"" ForwardDelegations=""0"" SecureResponses=""True"" DisjointNets=""False"" AutoConfigFileZones=""1"" ScavengingInterval=""0"" DefaultRefreshInterval=""168"" DefaultNoRefreshInterval=""168"" DefaultAgingState=""False"" EDnsCacheTimeout=""900"" EnableEDnsProbes=""True"" EnableDnsSec=""1"" ForwardingTimeout=""3"" IsSlave=""False"" EnableDirectoryPartitions=""True"" Started=""True"" StartMode=""Automatic"" Status=""OK"" Forwarder=""10.160.20.2"" Forwarder=""10.160.20.3"" ServerAddress=""fe80::d0c3:172c:d86e:f2f3"" ServerAddress=""10.80.2.160""","2015-01-05T05:55:59.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Health"," 2015-01-05T06:55:59-08:00 Server=""WIN-6LR3JNJ6LVD"" OperatingSystem=""Windows Server 2012 R2 Datacenter Evaluation"" ServicePack="""" OSVersion=""6.3 (9600)"" ServicesRunning=""DNS,Dnscache,w32time"" ServicesNotRunning="""" ProcsOK=""True"" Name=""WIN-6LR3JNJ6LVD.spl.com"" Version=""629146374"" LogLevel=""0"" LogFilePath="""" LogFileMaxSize=""500000000"" EventLogLevel=""4"" RpcProtocol=""5"" NameCheckFlag="""" AddressAnswerLimit=""0"" RecursionRetry=""3"" RecursionTimeout=""8"" DsPollingInterval=""180"" DsTombstoneInteval="""" MaxCacheTTL=""86400"" MaxNegativeCacheTTL=""900"" SendPort=""0"" XfrConnectTimeout=""30"" BootMethod=""3"" AllowUpdate=""1"" UpdateOptions=""783"" DsAvailable=""True"" DisableAutoReverseZones=""False"" AutoCacheUpdate=""False"" NoRecursion=""False"" RoundRobin=""True"" LocalNetPriority=""True"" StrictFileParsing=""False"" LooseWildcarding=""False"" BindSecondaries=""False"" WriteAuthorityNS=""False"" ForwardDelegations=""0"" SecureResponses=""True"" DisjointNets=""False"" AutoConfigFileZones=""1"" ScavengingInterval=""0"" DefaultRefreshInterval=""168"" DefaultNoRefreshInterval=""168"" DefaultAgingState=""False"" EDnsCacheTimeout=""900"" EnableEDnsProbes=""True"" EnableDnsSec=""1"" ForwardingTimeout=""3"" IsSlave=""False"" EnableDirectoryPartitions=""True"" Started=""True"" StartMode=""Automatic"" Status=""OK"" Forwarder=""10.160.20.2"" Forwarder=""10.160.20.3"" ServerAddress=""fe80::d0c3:172c:d86e:f2f3"" ServerAddress=""10.80.2.160""","2015-01-05T06:55:59.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Health"," 2015-01-05T08:06:03-08:00 Server=""WIN-6LR3JNJ6LVD"" OperatingSystem=""Windows Server 2012 R2 Datacenter Evaluation"" ServicePack="""" OSVersion=""6.3 (9600)"" ServicesRunning=""DNS,Dnscache,w32time"" ServicesNotRunning="""" ProcsOK=""True"" Name=""WIN-6LR3JNJ6LVD.spl.com"" Version=""629146374"" LogLevel=""0"" LogFilePath="""" LogFileMaxSize=""500000000"" EventLogLevel=""4"" RpcProtocol=""5"" NameCheckFlag="""" AddressAnswerLimit=""0"" RecursionRetry=""3"" RecursionTimeout=""8"" DsPollingInterval=""180"" DsTombstoneInteval="""" MaxCacheTTL=""86400"" MaxNegativeCacheTTL=""900"" SendPort=""0"" XfrConnectTimeout=""30"" BootMethod=""3"" AllowUpdate=""1"" UpdateOptions=""783"" DsAvailable=""True"" DisableAutoReverseZones=""False"" AutoCacheUpdate=""False"" NoRecursion=""False"" RoundRobin=""True"" LocalNetPriority=""True"" StrictFileParsing=""False"" LooseWildcarding=""False"" BindSecondaries=""False"" WriteAuthorityNS=""False"" ForwardDelegations=""0"" SecureResponses=""True"" DisjointNets=""False"" AutoConfigFileZones=""1"" ScavengingInterval=""0"" DefaultRefreshInterval=""168"" DefaultNoRefreshInterval=""168"" DefaultAgingState=""False"" EDnsCacheTimeout=""900"" EnableEDnsProbes=""True"" EnableDnsSec=""1"" ForwardingTimeout=""3"" IsSlave=""False"" EnableDirectoryPartitions=""True"" Started=""True"" StartMode=""Automatic"" Status=""OK"" Forwarder=""10.160.20.2"" Forwarder=""10.160.20.3"" ServerAddress=""fe80::d0c3:172c:d86e:f2f3"" ServerAddress=""10.80.2.160""","2015-01-05T08:06:03.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Health"," 2015-01-05T09:06:03-08:00 Server=""WIN-6LR3JNJ6LVD"" OperatingSystem=""Windows Server 2012 R2 Datacenter Evaluation"" ServicePack="""" OSVersion=""6.3 (9600)"" ServicesRunning=""DNS,Dnscache,w32time"" ServicesNotRunning="""" ProcsOK=""True"" Name=""WIN-6LR3JNJ6LVD.spl.com"" Version=""629146374"" LogLevel=""0"" LogFilePath="""" LogFileMaxSize=""500000000"" EventLogLevel=""4"" RpcProtocol=""5"" NameCheckFlag="""" AddressAnswerLimit=""0"" RecursionRetry=""3"" RecursionTimeout=""8"" DsPollingInterval=""180"" DsTombstoneInteval="""" MaxCacheTTL=""86400"" MaxNegativeCacheTTL=""900"" SendPort=""0"" XfrConnectTimeout=""30"" BootMethod=""3"" AllowUpdate=""1"" UpdateOptions=""783"" DsAvailable=""True"" DisableAutoReverseZones=""False"" AutoCacheUpdate=""False"" NoRecursion=""False"" RoundRobin=""True"" LocalNetPriority=""True"" StrictFileParsing=""False"" LooseWildcarding=""False"" BindSecondaries=""False"" WriteAuthorityNS=""False"" ForwardDelegations=""0"" SecureResponses=""True"" DisjointNets=""False"" AutoConfigFileZones=""1"" ScavengingInterval=""0"" DefaultRefreshInterval=""168"" DefaultNoRefreshInterval=""168"" DefaultAgingState=""False"" EDnsCacheTimeout=""900"" EnableEDnsProbes=""True"" EnableDnsSec=""1"" ForwardingTimeout=""3"" IsSlave=""False"" EnableDirectoryPartitions=""True"" Started=""True"" StartMode=""Automatic"" Status=""OK"" Forwarder=""10.160.20.2"" Forwarder=""10.160.20.3"" ServerAddress=""fe80::d0c3:172c:d86e:f2f3"" ServerAddress=""10.80.2.160""","2015-01-05T09:06:03.000-0800"
