index,host,source,sourcetype,"_raw","_time"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Zone-Information","2015-01-05T06:55:59-08:00 Zone=""spl.com"" Aging=""False"" AllowUpdate=""2"" AutoCreated=""False"" AvailForScavengeTime=""0"" Caption="""" ContainerName=""spl.com"" DataFile="""" DnsServerName=""WIN-6LR3JNJ6LVD.spl.com"" DsIntegrated=""True"" ForwarderSlave=""False"" ForwarderTimeout=""0"" LastSuccessfulSoaCheck=""0"" LastSuccessfulXfr=""0"" NoRefreshInterval=""168"" Notify=""2"" Paused=""False"" RefreshInterval=""168"" Reverse=""False"" SecureSecondaries=""3"" Shutdown=""False"" Status="""" UseWins=""False"" ZoneType=""1"" SOA=1 NS=1 A=2 AAAA=0 CNAME=0 MX=0 SRV=0 HINFO=0 TXT=0 TotalRecords=4","2015-01-05T06:55:59.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Zone-Information","2015-01-05T08:06:03-08:00 Zone=""_msdcs.spl.com"" Aging=""False"" AllowUpdate=""2"" AutoCreated=""False"" AvailForScavengeTime=""0"" Caption="""" ContainerName=""_msdcs.spl.com"" DataFile="""" DnsServerName=""WIN-6LR3JNJ6LVD.spl.com"" DsIntegrated=""True"" ForwarderSlave=""False"" ForwarderTimeout=""0"" LastSuccessfulSoaCheck=""0"" LastSuccessfulXfr=""0"" NoRefreshInterval=""168"" Notify=""2"" Paused=""False"" RefreshInterval=""168"" Reverse=""False"" SecureSecondaries=""3"" Shutdown=""False"" Status="""" UseWins=""False"" ZoneType=""1"" SOA=1 NS=2 A=0 AAAA=0 CNAME=1 MX=0 SRV=0 HINFO=0 TXT=0 TotalRecords=4","2015-01-05T08:06:03.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Zone-Information","2015-01-05T08:06:03-08:00 Zone=""spl.com"" Aging=""False"" AllowUpdate=""2"" AutoCreated=""False"" AvailForScavengeTime=""0"" Caption="""" ContainerName=""spl.com"" DataFile="""" DnsServerName=""WIN-6LR3JNJ6LVD.spl.com"" DsIntegrated=""True"" ForwarderSlave=""False"" ForwarderTimeout=""0"" LastSuccessfulSoaCheck=""0"" LastSuccessfulXfr=""0"" NoRefreshInterval=""168"" Notify=""2"" Paused=""False"" RefreshInterval=""168"" Reverse=""False"" SecureSecondaries=""3"" Shutdown=""False"" Status="""" UseWins=""False"" ZoneType=""1"" SOA=1 NS=1 A=2 AAAA=0 CNAME=0 MX=0 SRV=0 HINFO=0 TXT=0 TotalRecords=4","2015-01-05T08:06:03.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Zone-Information","2015-01-05T09:06:02-08:00 Zone=""_msdcs.spl.com"" Aging=""False"" AllowUpdate=""2"" AutoCreated=""False"" AvailForScavengeTime=""0"" Caption="""" ContainerName=""_msdcs.spl.com"" DataFile="""" DnsServerName=""WIN-6LR3JNJ6LVD.spl.com"" DsIntegrated=""True"" ForwarderSlave=""False"" ForwarderTimeout=""0"" LastSuccessfulSoaCheck=""0"" LastSuccessfulXfr=""0"" NoRefreshInterval=""168"" Notify=""2"" Paused=""False"" RefreshInterval=""168"" Reverse=""False"" SecureSecondaries=""3"" Shutdown=""False"" Status="""" UseWins=""False"" ZoneType=""1"" SOA=1 NS=2 A=0 AAAA=0 CNAME=1 MX=0 SRV=0 HINFO=0 TXT=0 TotalRecords=4","2015-01-05T09:06:02.000-0800"
msad,"WIN-6LR3JNJ6LVD",Powershell,"MSAD:NT6:DNS-Zone-Information","2015-01-05T09:06:03-08:00 Zone=""spl.com"" Aging=""False"" AllowUpdate=""2"" AutoCreated=""False"" AvailForScavengeTime=""0"" Caption="""" ContainerName=""spl.com"" DataFile="""" DnsServerName=""WIN-6LR3JNJ6LVD.spl.com"" DsIntegrated=""True"" ForwarderSlave=""False"" ForwarderTimeout=""0"" LastSuccessfulSoaCheck=""0"" LastSuccessfulXfr=""0"" NoRefreshInterval=""168"" Notify=""2"" Paused=""False"" RefreshInterval=""168"" Reverse=""False"" SecureSecondaries=""3"" Shutdown=""False"" Status="""" UseWins=""False"" ZoneType=""1"" SOA=1 NS=1 A=2 AAAA=0 CNAME=0 MX=0 SRV=0 HINFO=0 TXT=0 TotalRecords=4","2015-01-05T09:06:03.000-0800"
